absolute, абсолютный
abstract, резюме
academic, академический
acceptable, приемлемый
accidental, случайный
accordance, соответствие
account, расчёт
achieve, достигать
acknowledge, признавать
additional, дополнительный
address, заниматься
adequate, адекватный
admit, принимать
adopt, принимать
advance, выдвигать
advantage, преимущество
affect, влиять
affiliation, место работы
agreement, согласие
aim, цель
alternative, альтернативный
ambiguous, неоднозначный
amount, количество
analogous, аналогичный
analysis, анализ
anonymous, анонимный
apparatus, аппарат
apparent, очевидный
appendix, приложение
applicable, применимый
approach, подход
appropriate, подходящий
approximately, приблизительно
arbitrary, произвольный
argument, спор
aspect, аспект
associate, ассоциировать
assumption, предположение
atrribute, атрибут
attempt, пытаться
average, средний
background, предпосылка
based, основанный
basically, в основном
basis, основа
bibliography, библиография
bold, жирный
boundary, граница
briefly, кратко